Scenario               Ref vs Comp            Metric                   Test          p_adj   Effect  Sig   Ref_mean  Comp_mean
------------------------------------------------------------------------------------------------------------------------
S4a_3d_traversal_with_late_threat FULL vs NO_PPO         collision                McNemar      0.0131   0.3158    *     0.6230     0.6360
S4a_3d_traversal_with_late_threat FULL vs NO_SUB         collision                McNemar      0.0000 6230000000000.0000    *     0.6230     0.0000
S4a_3d_traversal_with_late_threat FULL vs NO_SUPER       collision                McNemar      0.0000   0.0078    *     0.6230     0.7510
S4a_3d_traversal_with_late_threat FULL vs PPO_ONLY       collision                McNemar      0.0000   2.9364    *     0.6230     0.2880
S4a_3d_traversal_with_late_threat FULL vs SUB_ONLY       collision                McNemar      0.0000   0.0000    *     0.6230     0.8000
S4a_3d_traversal_with_late_threat FULL vs SUPER_ONLY     collision                McNemar      0.0000 6230000000000.0000    *     0.6230     0.0000
S4a_3d_traversal_with_late_threat FULL vs NO_PPO         log_dimensionless_jerk   Wilcoxon     0.0000   0.6872    *     9.1719     8.3791
S4a_3d_traversal_with_late_threat FULL vs NO_SUB         log_dimensionless_jerk   Wilcoxon     0.0000   0.9797    *     9.1719    16.6552
S4a_3d_traversal_with_late_threat FULL vs NO_SUPER       log_dimensionless_jerk   Wilcoxon     0.0000   0.9966    *     9.1719     8.2465
S4a_3d_traversal_with_late_threat FULL vs PPO_ONLY       log_dimensionless_jerk   Wilcoxon     0.0000   0.6178    *     9.1719     7.0811
S4a_3d_traversal_with_late_threat FULL vs SUB_ONLY       log_dimensionless_jerk   Wilcoxon     0.0000   1.0000    *     9.1719     6.3453
S4a_3d_traversal_with_late_threat FULL vs SUPER_ONLY     log_dimensionless_jerk   Wilcoxon     0.0000   0.9814    *     9.1719    16.9976
S4a_3d_traversal_with_late_threat FULL vs NO_PPO         spl                      Wilcoxon     0.0002   0.6100    *     0.2254     0.2367
S4a_3d_traversal_with_late_threat FULL vs NO_SUB         spl                      Wilcoxon     0.0000   0.8679    *     0.2254     0.5103
S4a_3d_traversal_with_late_threat FULL vs NO_SUPER       spl                      Wilcoxon     0.0000   0.6796    *     0.2254     0.1734
S4a_3d_traversal_with_late_threat FULL vs PPO_ONLY       spl                      Wilcoxon     0.0000   0.8899    *     0.2254     0.6845
S4a_3d_traversal_with_late_threat FULL vs SUB_ONLY       spl                      Wilcoxon     0.0000   0.6775    *     0.2254     0.1566
S4a_3d_traversal_with_late_threat FULL vs SUPER_ONLY     spl                      Wilcoxon     0.0000   0.8774    *     0.2254     0.4895
S4a_3d_traversal_with_late_threat FULL vs NO_PPO         success                  McNemar      0.0267   0.5152    *     0.3480     0.3640
S4a_3d_traversal_with_late_threat FULL vs NO_SUB         success                  McNemar      0.0000   0.0155    *     0.3480     0.9830
